code,shortName,longName,comment
AA,AA,Ausländische Abschlüsse,
AVJ,AVJ,Ausbildungsvorbereitendes Jahr,
BAS,BAS,Berufsaufbauschule,
BF1,BF1,Berufsfachschule I,
BF2,BF2,Berufsfachschule II,
BF3,BF3,Berufsfachschule III,
BFH,BFH,Berufsfachschule für bundesrechtlich geregelte nichtärztliche Heilberufe,
BGJ,BGJ,Berufsgrundbildungsjahr,
BJA,BJA,Berufsschule für junge Menschen im Ausbildungsverhältnis,
BAV,BAV,"Berufsschule, AV-SH (Ausbildungsvorbereitung SH)",
BIK,BIK,"Berufsschule, BIK-DaZ (Berufsintegrationsklasse)",
BOS,BOS,Berufsoberschule,
BVM,BVM,Berufsvorbereitende Bildungsmaßnahmen,
BG,BG,Berufliches Gymnasium,
EQ,EQ,Betriebliche Einstiegsqualifizierung,
FH,FH,Fachhochschule,
FOS,FOS,Fachoberschule,
FS,FS,Fachschule,
GYM,GYM,Gymnasium ,
HS,HS,Hauptschule ,
GEM,GEM,Gemeinschaftsschule,
GES,GES,Gesamtschule,
JOA,JOA,Jugendliche ohne Ausbildung / Berufseingangsklasse,
RS,RS,Realschule ,
REG,REG,Regionalschule,
SON,SON,Sonstige Schulen,
SOS,SOS,Förderzentrum,
