code,shortName,longName,mass,comment
01AMD,01AMD,Automatenfachfrau/Automatenfachmann FR Automatendienstleistung,201,3j.
01AMM,01AMM,Automatenfachfrau/Automatenfachmann FR Automatenmechatronik,201,3j.
01AUK,01AUK,Automobilkauffrau/Automobilkaufmann,201,3j.
01BA2,01BA2,Bankkauffrau/Bankkaufmann,201,3j.
01BKF,01BKF,Berufskraftfahrerin/Berufskraftfahrer,201,3j.
01BUC,01BUC,Buchhändlerin/Buchhändler,201,3j.
01DRO,01DRO,Drogistin/Drogist,201,3j.
01FAD,01FAD,Fachangestellte/Fachangestellter für Arbeitsmarktdienstleistungen,201,3j.
01FAB,01FAB,Fachangestellte/Fachangestellter für Bäderbetriebe,201,3j.
01FMS,01FMS,Fachangestellte/Fachangestellter für Markt- und Sozialforschung,201,3j.
01FKE,01FKE,"Fachkraft für Kurier-, Express- und Postdienstleistungen",201,2j.
01FHL,01FHL,Fachkraft für Hafenlogistik,201,3j.
01FLL,01FLL,Fachkraft für Lagerlogistik,201,3j.
01FSS,01FSS,Fachkraft für Schutz und Sicherheit,201,3j.
01FLA,01FLA,Fachlageristin/Fachlagerist,201,2j.
01FMF,01FMF,Fotomedienfachfrau/Fotomedienfachmann,201,3j.
01IMK,01IMK,Immobilienkauffrau/Immobilienkaufmann,201,3j.
01INK,01INK,Industriekauffrau/Industriekaufmann,201,"3j., auslaufend (ab 2024)"
01IDK,01IDK,Industriekauffrau/Industriekaufmann,201,"3j., neue Stundentafel ab 08/2024"
01JFA,01JFA,Justizfachangestellte/Justizfachangestellter,201,3j.
01KBM,01KBM,Kauffrau/Kaufmann für Büromanagement,201,3j.
01KDM,01KDM,Kauffrau/Kaufmann für Dialogmarketing,201,3j.
01KDS,01KDS,Kauffrau/Kaufmann für Digitalisierungsmanagement,201,3j.
01KIT,01KIT,Kauffrau/Kaufmann für IT-System-Management,201,3j.
01KKE,01KKE,"Kauffrau/Kaufmann für Kurier-, Express- und Postdienstleistungen",201,3j.
01KMK,01KMK,Kauffrau/Kaufmann für Marketingkommunikation,201,3j.
01KSL,01KSL,Kauffrau/Kaufmann für Spedition und Logistikdienstleistung,201,3j.
01KTF,01KTF,Kauffrau/Kaufmann für Tourismus und Freizeit,201,3j.
01KVA,01KVA,Kauffrau/Kaufmann für Versicherungen und Finanzanlagen,201,3j.
01KEC,01KEC,Kauffrau/Kaufmann im E-Commerce,201,3j.
01KEH,01KEH,Kauffrau/Kaufmann im Einzelhandel,201,3j.
01KAG,01KAG,Kauffrau/Kaufmann im Gesundheitswesen,201,3j.
01KGA,01KGA,Kauffrau/Kaufmann im Groß- und Außenhandelsmanagement Fachrichtung Außenhandel,201,3j.
01KGG,01KGG,Kauffrau/Kaufmann im Groß- und Außenhandelsmanagement Fachrichtung Großhandel,201,3j.
01KMD,01KMD,Medienkauffrau/Medienkaufmann Digital und Print,201,3j.
01NFA,01NFA,Notarfachangestellte/Notarfachangestellter,201,3j.
01PDK,01PDK,Personaldienstleistungskauffrau/Personaldienstleistungskaufmann,201,3j.
01PKA,01PKA,Pharmazeutisch-kaufmännische Angestellte/Angestellter,201,3j.
01RNF,01RNF,Rechtsanwalts- und Notarfachangestellte/Rechtsanwalts- und Notarfachangestellter,201,3j.
01RFA,01RFA,Rechtsanwaltsfachangestellte/Rechtsanwaltsfachangestellter,201,3j.
01SI2,01SI2,Schifffahrtskauffrau/Schifffahrtskaufmann Fachrichtung Linienfahrt,201,3j.
01SI1,01SI1,Schifffahrtskauffrau/Schifffahrtskaufmann Fachrichtung Trampfahrt,201,3j.
01SFD,01SFD,Servicefachkraft für Dialogmarketing,201,3j.
01SSS,01SSS,Servicekraft für Schutz und Sicherheit,201,2j.
01SEF,01SEF,Servicefahrerin/Servicefahrer,201,2j.
01SO1,01SO1,Sozialversicherungsfachangestellte/-fachangestellter Fachrichtung Allgemeine Krankenversicherung,201,3j.
01SO2,01SO2,Sozialversicherungsfachangestellte/-fachangestellter Fachrichtung Gesetzliche Unfallversicherung,201,3j.
01SO3,01SO3,Sozialversicherungsfachangestellte/-fachangestellter Fachrichtung Gesetzliche Rentenversicherung,201,3j.
01SO4,01SO4,Sozialversicherungsfachangestellte/-fachangestellter Fachrichtung Knappschaftliche Sozialvers.,201,3j.
01SO5,01SO5,Sozialversicherungsfachangestellte/-fachangestellter Fachrichtung Landwirtschaftliche Sozialvers.,201,3j.
01SFK,01SFK,Sport- und Fitnesskauffrau/Sport- und Fitnesskaufmann,201,3j.
01SOK,01SOK,Sportfachfrau/Sportfachmann,201,3j.
