code,shortName,longName,comment
dk,dk,Dänemark,
01000000,01000000,Schleswig-Holstein,"Bundesland
"
02000000,02000000,Hamburg,Bundesland
03000000,03000000,Niedersachsen,Bundesland
04000000,04000000,Bremen,Bundesland
05000000,05000000,Nordrhein-Westfalen,Bundesland
06000000,06000000,Hessen,Bundesland
07000000,07000000,Rheinland-Pfalz,Bundesland
08000000,08000000,Baden-Württemberg,Bundesland
09000000,09000000,Bayern,Bundesland
10000000,10000000,Saarland,Bundesland
11000000,11000000,Berlin,Bundesland
12000000,12000000,Brandenburg,Bundesland
13000000,13000000,Mecklenburg-Vorpommern,Bundesland
14000000,14000000,Sachsen,Bundesland
15000000,15000000,Sachsen-Anhalt,Bundesland
16000000,16000000,Thüringen,Bundesland
01001000,01001000,Flensburg,Landkreis
01002000,01002000,Kiel,Landkreis
01003000,01003000,Lübeck,Landkreis
01004000,01004000,Neumünster,Landkreis
01051000,01051000,Dithmarschen,Landkreis
01053000,01053000,Hzgt. Lauenburg,Landkreis
01054000,01054000,Nordfriesland,Landkreis
01055000,01055000,Ostholstein,Landkreis
01056000,01056000,Pinneberg,Landkreis
01057000,01057000,Plön,Landkreis
01058000,01058000,Rendsburg-Eckernförde,Landkreis
01059000,01059000,Schleswig-Flensburg,Landkreis
01060000,01060000,Segeberg,Landkreis
01061000,01061000,Steinburg,Landkreis
01062000,01062000,Stormarn,Landkreis
01001000,01001000,"Flensburg, Stadt",Stadt / Gemeinde
01002000,01002000,"Kiel, Landeshauptstadt",Stadt / Gemeinde
01003000,01003000,"Lübeck, Hansestadt",Stadt / Gemeinde
01004000,01004000,"Neumünster, Stadt",Stadt / Gemeinde
01051001,01051001,Albersdorf,Stadt / Gemeinde
01051002,01051002,Arkebek,Stadt / Gemeinde
01051003,01051003,Averlak,Stadt / Gemeinde
01051004,01051004,Bargenstedt,Stadt / Gemeinde
01051005,01051005,Barkenholm,Stadt / Gemeinde
01051006,01051006,Barlt,Stadt / Gemeinde
01051008,01051008,Bergewöhrden,Stadt / Gemeinde
01051010,01051010,Brickeln,Stadt / Gemeinde
01051011,01051011,"Brunsbüttel, Stadt",Stadt / Gemeinde
01051012,01051012,Buchholz (Kr. Dithmarschen),Stadt / Gemeinde
01051013,01051013,Büsum,Stadt / Gemeinde
01051014,01051014,Büsumer Deichhausen,Stadt / Gemeinde
01051015,01051015,Bunsoh,Stadt / Gemeinde
01051016,01051016,Burg (Dithmarschen),Stadt / Gemeinde
01051017,01051017,Busenwurth,Stadt / Gemeinde
01051019,01051019,Dellstedt,Stadt / Gemeinde
01051020,01051020,Delve,Stadt / Gemeinde
01051021,01051021,Diekhusen-Fahrstedt,Stadt / Gemeinde
01051022,01051022,Dingen,Stadt / Gemeinde
01051023,01051023,Dörpling,Stadt / Gemeinde
01051024,01051024,Eddelak,Stadt / Gemeinde
01051026,01051026,Eggstedt,Stadt / Gemeinde
01051027,01051027,Elpersbüttel,Stadt / Gemeinde
01051028,01051028,Epenwöhrden,Stadt / Gemeinde
01051030,01051030,Fedderingen,Stadt / Gemeinde
01051032,01051032,Frestedt,Stadt / Gemeinde
01051033,01051033,Friedrichsgabekoog,Stadt / Gemeinde
01051034,01051034,Friedrichskoog,Stadt / Gemeinde
01051035,01051035,Gaushorn,Stadt / Gemeinde
01051036,01051036,Glüsing,Stadt / Gemeinde
01051037,01051037,Großenrade,Stadt / Gemeinde
01051038,01051038,Groven,Stadt / Gemeinde
01051039,01051039,Gudendorf,Stadt / Gemeinde
01051043,01051043,Hedwigenkoog,Stadt / Gemeinde
01051044,01051044,"Heide, Stadt",Stadt / Gemeinde
01051045,01051045,Hellschen-Heringsand-Unterschaar,Stadt / Gemeinde
01051046,01051046,Helse,Stadt / Gemeinde
01051047,01051047,Hemme,Stadt / Gemeinde
01051048,01051048,Hemmingstedt,Stadt / Gemeinde
01051049,01051049,Hennstedt (Kr. Dithmarschen),Stadt / Gemeinde
01051050,01051050,Hillgroven,Stadt / Gemeinde
01051051,01051051,Hochdonn,Stadt / Gemeinde
01051052,01051052,Hövede,Stadt / Gemeinde
01051053,01051053,Hollingstedt (Kr. Dithmarschen),Stadt / Gemeinde
01051054,01051054,Immenstedt (Kr. Dithmarschen),Stadt / Gemeinde
01051057,01051057,Kaiser-Wilhelm-Koog,Stadt / Gemeinde
01051058,01051058,Karolinenkoog,Stadt / Gemeinde
01051060,01051060,Kleve (Kr. Dithmarschen),Stadt / Gemeinde
01051061,01051061,Krempel,Stadt / Gemeinde
01051062,01051062,Kronprinzenkoog,Stadt / Gemeinde
01051063,01051063,Krumstedt,Stadt / Gemeinde
01051064,01051064,Kuden,Stadt / Gemeinde
01051065,01051065,Lehe,Stadt / Gemeinde
01051067,01051067,Lieth,Stadt / Gemeinde
01051068,01051068,Linden,Stadt / Gemeinde
01051069,01051069,Lohe-Rickelshof,Stadt / Gemeinde
01051071,01051071,Lunden,Stadt / Gemeinde
01051072,01051072,"Marne, Stadt",Stadt / Gemeinde
01051073,01051073,Marnerdeich,Stadt / Gemeinde
01051074,01051074,"Meldorf, Stadt",Stadt / Gemeinde
01051075,01051075,Neuenkirchen,Stadt / Gemeinde
01051076,01051076,Neufeld,Stadt / Gemeinde
01051077,01051077,Neufelderkoog,Stadt / Gemeinde
01051078,01051078,Nindorf (Kr. Dithmarschen),Stadt / Gemeinde
01051079,01051079,Norddeich,Stadt / Gemeinde
01051080,01051080,Norderheistedt,Stadt / Gemeinde
01051081,01051081,Norderwöhrden,Stadt / Gemeinde
01051082,01051082,Nordhastedt,Stadt / Gemeinde
01051083,01051083,Odderade,Stadt / Gemeinde
01051084,01051084,Oesterdeichstrich,Stadt / Gemeinde
01051085,01051085,Offenbüttel,Stadt / Gemeinde
01051086,01051086,Osterrade,Stadt / Gemeinde
01051087,01051087,Ostrohe,Stadt / Gemeinde
01051088,01051088,Pahlen,Stadt / Gemeinde
01051089,01051089,Quickborn (Kr. Dithmarschen),Stadt / Gemeinde
01051090,01051090,Ramhusen,Stadt / Gemeinde
01051092,01051092,Rehm-Flehde-Bargen,Stadt / Gemeinde
01051093,01051093,Reinsbüttel,Stadt / Gemeinde
01051096,01051096,Sankt Annen,Stadt / Gemeinde
01051097,01051097,Sankt Michaelisdonn,Stadt / Gemeinde
01051098,01051098,Sarzbüttel,Stadt / Gemeinde
01051099,01051099,Schafstedt,Stadt / Gemeinde
01051100,01051100,Schalkholz,Stadt / Gemeinde
01051102,01051102,Schlichting,Stadt / Gemeinde
01051103,01051103,Schmedeswurth,Stadt / Gemeinde
01051104,01051104,Schrum,Stadt / Gemeinde
01051105,01051105,Schülp,Stadt / Gemeinde
01051107,01051107,Stelle-Wittenwurth,Stadt / Gemeinde
01051108,01051108,Strübbel,Stadt / Gemeinde
01051109,01051109,Süderdeich,Stadt / Gemeinde
01051110,01051110,Süderhastedt,Stadt / Gemeinde
01051113,01051113,Wöhrden,Stadt / Gemeinde
01051114,01051114,Tellingstedt,Stadt / Gemeinde
01051117,01051117,Tielenhemme,Stadt / Gemeinde
01051118,01051118,Trennewurth,Stadt / Gemeinde
01051119,01051119,Volsemenhusen,Stadt / Gemeinde
