code,shortName,longName,postalCode,locality,comment
0799863,0799863,"A. P. Moeller Skolen, Gemeinschaftsschule, mit Oberstufe -Staatlich anerkannt-",24837,Schleswig,
0703402,0703402,"Albert-Mahlstedt-Schule, Förderzentrum Lernen",23701,Eutin,
0703559,0703559,"Albert-Schweitzer-Schule, Förderzentrum geistige Entwicklung",24398,"Winnemark, OT Sundsacker",
0703752,0703752,"Albert-Schweitzer-Schule, Förderzentrum Lernen Bargteheide",22941,Bargteheide,
0703450,0703450,"Albert-Schweitzer-Schule, Förderzentrum Lernen Barmstedt",25355,Barmstedt,
0703754,0703754,"Amalie-Sieveking-Schule, Sonderpädagogisches Förderzentrum",21465,Reinbek,
0703054,0703054,"Andreas-Gayk-Schule, Förderzentrum Lernen der Landeshauptstadt Kiel",24149,Kiel,
0707353,0707353,"Arnesboken-Schule, Grund- und Gemeinschaftsschule, mit Förderzentrumsteil der Gemeinde Ahrensbök",23623,Ahrensbök,
0799826,0799826,"Askfelt Danske Skole, Grundschule mit Gemeinschaftsschulteil",24358,Ascheffel,
0703252,0703252,Astrid-Lindgren-Schule Sörup,24966,Sörup,
0703213,0703213,"Astrid-Lindgren-Schule, Förderzentrum geistige Entwicklung Meldorf",25704,Meldorf,
0703304,0703304,"Astrid-Lindgren-Schule, Förderzentrum Lernen Mölln",23879,Mölln,
0703103,0703103,"Astrid-Lindgren-Schule, Förderzentrum Lernen, mit Außenstelle Kinder- und Jugendpsychiatrie Lübeck",23560,Lübeck,
0703101,0703101,"Berend-Schröder-Schule, Sonderpädagogisches Förderzentrum, SWP Lernen, Sprache, emotionale und soziale Entwicklung",23552,Lübeck,
0703650,0703650,"Bramau-Schule, Förderzentrum Lernen",24576,Bad Bramstedt,
0799807,0799807,"Bredsted Danske Skole, Grundschule mit Gemeinschaftsschulteil",25821,Bredstedt,
0703359,0703359,"Carl-Ludwig-Jessen-Schule, Förderzentrum geistige Entwicklung",25899,Niebüll,
0703306,0703306,"Centa-Wulf-Schule, Förderzentrum Lernen",21493,Schwarzenbek,
0799071,0799071,"Christliche Schule Kiel, Grundschule",24113,Kiel,
