code,shortName,longName,comment
003,003,Physik,
006,006,Kunst,
008,008,Biologie,
010,010,Chemie,
012,012,Mathematik,
013,013,Informatik,
014,014,Deutsch,
026,026,Sport,
036,036,Musik/Orchester/Chor,
038,038,Philosophie,
040,040,Religion,
042,042,Wirtschaftslehre,
111,111,"Dänisch, 1. Fremdsprache, neu begonnen",
116,116,"Englisch, 1. Fremdsprache, neu begonnen",
122,122,"Französisch, 1. Fremdsprache, neu begonnen",
132,132,"Latein, 1. Fremdsprache, neu begonnen",
145,145,"Russisch, 1. Fremdsprache, neu begonnen",
151,151,"Spanisch, 1. Fremdsprache, neu begonnen",
152,152,"Türkisch, 1. Fremdsprache, neu begonnen",
211,211,"Dänisch, 1. Fremdsprache, fortgeführt",
216,216,"Englisch, 1. Fremdsprache, fortgeführt",
222,222,"Französisch, 1. Fremdsprache, fortgeführt",
232,232,"Latein, 1. Fremdsprache, fortgeführt",
245,245,"Russisch, 1. Fremdsprache, fortgeführt",
251,251,"Spanisch, 1. Fremdsprache, fortgeführt",
252,252,"Türkisch, 1. Fremdsprache, fortgeführt",
311,311,"Dänisch, 2. Fremdsprache, neu begonnen",
316,316,"Englisch, 2. Fremdsprache, neu begonnen",
322,322,"Französisch, 2. Fremdsprache, neu begonnen",
332,332,"Latein, 2. Fremdsprache, neu begonnen",
345,345,"Russisch, 2. Fremdsprache, neu begonnen",
351,351,"Spanisch, 2. Fremdsprache, neu begonnen",
352,352,"Türkisch, 2. Fremdsprache, neu begonnen",
411,411,"Dänisch, 2. Fremdsprache, fortgeführt",
416,416,"Englisch, 2. Fremdsprache, fortgeführt",
422,422,"Französisch, 2. Fremdsprache, fortgeführt",
432,432,"Latein, 2. Fremdsprache, fortgeführt",
445,445,"Russisch, 2. Fremdsprache, fortgeführt",
451,451,"Spanisch, 2. Fremdsprache, fortgeführt",
452,452,"Türkisch, 2. Fremdsprache, fortgeführt",
500,500,Agrartechnik mit Biologie,
501,501,Bautechnik,
502,502,Darstellendes Spiel,
504,504,Elektrotechnik,
506,506,Gemeinschaftskunde,
507,507,Gesundheit,
508,508,Literatur,
513,513,Rechtslehre,
515,515,Wirtschaftsgeographie,
518,518,Biotechnologie,
520,520,Berufliche Informatik,
550,550,Datenverarbeitungstechnik,
521,521,Ernährung,
551,551,"Ernährungslehre / Diätetik, Körperpflegekunde",
522,522,Erziehungswissenschaften,
552,552,Hauswirtschaft,
553,553,Ökotrophologie,
523,523,Betriebswirtschaftslehre mit Rechnungswesen und Controlling,
525,525,Betriebswirtschaftslehre,
526,526,Volkswirtschaftslehre,
527,527,Chemietechnik,
554,554,Chemisch-pharmazeutische Übungen,
555,555,Galenische Übungen,
556,556,Medizinproduktekunde,
557,557,Pharmazietechnik,
528,528,Gestaltungs- und Medientechnik,
529,529,Informationstechnik ,
530,530,Luftfahrttechnik,
531,531,Mechatronik,
532,532,Metalltechnik/Maschinenbau,
533,533,Pädagogik,
534,534,Physiktechnik,
536,536,Technik und Management,
537,537,Technische Informatik,
538,538,Umwelttechnik,
539,539,Wirtschaftsinformatik,
540,540,Biologietechnik,
542,542,Gestaltungstechnik ,
545,545,Erneuerbare Energien,
558,558,Ökologie und Gesundheit,
560,560,Profilseminar,nur Q1 / Q2
561,561,BO-Seminar,nur E
999,999,sonstiger Kurs,
