code,shortName,longName,comment
SOS,SOS,1. SoS-Prüfung,
BAG,BAG,Agrarwirtschaft,
ATK,ATK,Altertumskunde,
ARL,ARL,Arbeitslehre,
ARC,ARC,Archäologie,
AST,AST,Astronomie,
BAO,BAO,Augenoptik,
ALP,ALP,Ausländerpädagogik,
BBA,BBA,Bautechnik,
BRL,BRL,Beratungslehrer/ -in,
INB,INB,Berufliche Informatik,
BRW,BRW,Betriebliches Rechnungswesen,
BWL,BWL,Betriebswirtschaftslehre,
BIG,BIG,Bildhaftes Gestalten/Design,
BCH,BCH,Biochemie,
BIO,BIO,Biologie,
CHE,CHE,Chemie,
CHI,CHI,Chinesisch,
DAE,DAE,Dänisch,
DAS,DAS,Darstellendes Spiel,
DVA,DVA,Datenverarbeitung / Wirtschaftsinformatik,
DEU,DEU,Deutsch,
DLB,DLB,Deutsch (LB),
DAF,DAF,Deutsch als Fremdsprache / Deutsch als Zweitsprache,
BDR,BDR,Drucktechnik,
BEN,BEN,Elektrotechnik: Elektronik/Nachrichtentechnik,
BEE,BEE,Elektrotechnik: Energietechnik,
ENG,ENG,Englisch,
BEH,BEH,Ernährung und Hauswirtschaft,
EVB,EVB,Ernährung und Verbraucherbildung,
ENW,ENW,Ernährungswissenschaft,
EUR,EUR,Eurythmie,
BFT,BFT,Fahrzeugtechnik,
BFR,BFR,Farb- und Raumgestaltung/Farbtechnik,
FIW,FIW,Finanzwissenschaft,
FRA,FRA,Französisch,
FRI,FRI,Friesisch,
GEK,GEK,Gemeinschaftskunde,
ERD,ERD,Geographie,
GEO,GEO,Geologie,
GES,GES,Geschichte,
BGT,BGT,Gestaltungstechnik,
BGK,BGK,Gesundheit und Körperpflege,
BGP,BGP,Gesundheit und Pflege,
BGE,BGE,Gesundheit/Hygiene,
GSB,GSB,Gesundheitsbildung,
GPF,GPF,Gesundheitspflege,
GRI,GRI,Griechisch (alt),
HWS,HWS,Haushaltslehre,
HEB,HEB,Hebräisch,
HPA,HPA,Heilpädagogik,
HSN,HSN,Heimat- und Sachunterricht,auslaufend
HSU,HSU,"Heimat-, Welt- und Sachunterricht",auslaufend
BHO,BHO,Holztechnik,
HYG,HYG,Hygiene,
INF,INF,Informatik,
BIT,BIT,Informationstechnik,
ISL,ISL,Islamunterricht,
ITA,ITA,Italienisch,
JUR,JUR,Jugendrecht,
ZZZ,ZZZ,Keine Fächer (gem. LLVO),
KER,KER,Keramik,
BKP,BKP,Körperpflege,
KUN,KUN,Kunst,
KUG,KUG,Kunstgeschichte,
BLP,BLP,Labor- und Prozesstechnik,
LAN,LAN,Landwirtschaft,
LAG,LAG,Landwirtschaft und Gartenbau,
LAT,LAT,Latein,
LMT,LMT,Lebensmitteltechnik,
MAT,MAT,Mathematik,
MLB,MLB,Mathematik (LB),
BMT,BMT,Medientechnik,
MED,MED,Medizin,
BME,BME,Metalltechnik,
MIN,MIN,Mineralogie,
MUS,MUS,Musik,
BNA,BNA,Nahrungsgewerbe,
NAW,NAW,Naturwissenschaften,
NAU,NAU,Nautik,
NID,NID,Niederdeutsch,
NIL,NIL,Niederländisch,
NOR,NOR,Norwegisch,
ALT,ALT,Ohne Fächer ,
PAD,PAD,Pädagogik,
BPF,BPF,Pflege,
PHA,PHA,Pharmazie,
PHI,PHI,Philosophie,
PHY,PHY,Physik,
PCH,PCH,Physik/Chemie,
POL,POL,Politik,
PON,PON,Polnisch,
PSY,PSY,Psychologie,
REK,REK,Rechtskunde ,
REV,REV,"Religion, evangelisch",
RKA,RKA,"Religion, katholisch",
RUS,RUS,Russisch,
SKU,SKU,Sachunterricht (und gleichwertige ältere Lehrbefähigungen),
SBT,SBT,Schiffsbetriebstechnik,
SCH,SCH,Schwedisch,
SON,SON,Sonderpädagogik,
SPE,SPE,Sonderpädagogik Fachrichtung Förderschwerpunkt emotionale und soziale Entwicklung,
SPG,SPG,Sonderpädagogik Fachrichtung Förderschwerpunkt Geistige Entwicklung,
SPH,SPH,Sonderpädagogik Fachrichtung Förderschwerpunkt Hören und Kommunikation,
SPK,SPK,Sonderpädagogik Fachrichtung Förderschwerpunkt körperliche und motorische Entwicklung,
SPL,SPL,Sonderpädagogik Fachrichtung Förderschwerpunkt Lernen,
SPS,SPS,Sonderpädagogik Fachrichtung Förderschwerpunkt Sehen,
SPR,SPR,Sonderpädagogik Fachrichtung Förderschwerpunkt Sprache,
SBL,SBL,Sonderpädagogische Lehrbefähigungen für Blinde / Blindenpädagogik,
SGH,SGH,Sonderpädagogische Lehrbefähigungen für Gehörlose,
SGB,SGB,Sonderpädagogische Lehrbefähigungen für Geistigbehinderte,
SKB,SKB,Sonderpädagogische Lehrbefähigungen für Körperbehinderte,
SLB,SLB,Sonderpädagogische Lehrbefähigungen für Lernbehinderte,
SSH,SSH,Sonderpädagogische Lehrbefähigungen für Schwerhörige,
SSE,SSE,Sonderpädagogische Lehrbefähigungen für Sehbehinderte,
SSG,SSG,Sonderpädagogische Lehrbefähigungen für Sehgeschädigte,
SSB,SSB,Sonderpädagogische Lehrbefähigungen für sonstige Behinderte,
SSP,SSP,Sonderpädagogische Lehrbefähigungen für Sprachbehinderte,
SVG,SVG,Sonderpädagogische Lehrbefähigungen für Verhaltensgestörte,
SAV,SAV,Sonderpädagogische Lehrbefähigungen Autistisches Verhalten ,
SKH,SKH,Sonderpädagogische Lehrbefähigungen Pädagogik bei Krankheit,
SOK,SOK,Sozialkunde,
SOP,SOP,Sozialpädagogik,
SOW,SOW,Sozialwissenschaft/Soziologie,
BSW,BSW,Sozialwissenschaften,
SPA,SPA,Spanisch,
SPO,SPO,Sport,
STE,STE,Steuerlehre,
TEC,TEC,Technik,
TEW,TEW,Technisches Werken,
TXW,TXW,Textiles Werken/Textillehre,
BTB,BTB,Textiltechnik und Bekleidung,
TEX,TEX,Textverarbeitung,
TME,TME,Tiermedizin,
TZU,TZU,Tierzucht,
TUE,TUE,Türkisch,
WSZ,WSZ,Umweltschutz,
BVT,BVT,Verfahrenstechnik,
VBL,VBL,Verkehrsbetriebslehre,
VOE,VOE,Völkerkunde,
VOK,VOK,Volkskunde,
VWL,VWL,Volkswirtschaftslehre,
WAP,WAP,Waldorfpädagogik,
WAK,WAK,Warenkunde,
BWV,BWV,Wirtschaft und Verwaltung,
WPO,WPO,Wirtschaft/Politik,
WEN,WEN,Wirtschaftsenglisch,
WFR,WFR,Wirtschaftsfranzösisch,
WIG,WIG,Wirtschaftsgeographie,
ZME,ZME,Zahnmedizin,
ZTE,ZTE,Zahntechnik,
UAI,UAI,Angewandte Informatik ,nur Lehrkräfte des Lehramtes Gym oder GemS Sek. I
UIF,UIF,Informatik ,nur Lehrkräfte des Lehramtes Gym oder GemS Sek. I + II
UDG,UDG,Darstellendes Spiel / Gestalten ,nur Lehrkräfte des Lehramtes Gym oder GemS Sek. I
UDS,UDS,Darstellendes Spiel ,nur Lehrkräfte des Lehramtes Gym oder GemS Sek. I + II
UPH,UPH,Philosophie ,nur Lehrkräfte des Lehramtes Grundschulen
UEN,UEN,Englisch,nur Lehrkräfte des Lehramtes Grundschulen und FöZ
UIS,UIS,Islamunterricht ,nur Lehrkräfte des Lehramtes Grundschulen
UPY,UPY,Physik ,nur Lehrkräfte des Lehramtes Gym oder GemS Sek. I
USP,USP,Sonderpädagogik ,nur Lehrkräfte des Lehramtes an BS
UTE,UTE,Technik ,nur Lehrkräfte des Lehramtes Gym oder GemS Sek. I
