code,shortName,longName,comment
021,021,Prävention im Kindergarten (von Grundschullehrern erteilt),
022,022,Prävention im Kindergarten (von Förderzentrumslehrern erteilt),
025,025,DaZ-Klasse in Primarstufe (nur im DaZ-Zentrum),
027,027,Prävention in der DaZ-Klasse in Primarstufe,
028,028,Inklusion in der DaZ-Klasse in Primarstufe,
030,030,Grundschule (Primarstufe),
031,031,Prävention in der Grundschule (Primarstufe),
032,032,Inklusion in der Grundschule (Primarstufe),
033,033,"Krankenhausunterricht für Schülerinnen und Schüler die eine Grundschule 
besuchen (Primarstufe)",
035,035,DaZ-Klasse in Sekundarstufe I (nur im DaZ-Zentrum),
036,036,Prävention in der DaZ-Klasse in Sekundarstufe I,
037,037,Inklusion in der DaZ-Klasse in Sekundarstufe I,
090,090,Gymnasium (Sekundarstufe I) ,
091,091,Prävention im Gymnasium (Sekundarstufe I),
092,092,Inklusion im Gymnasium (Sekundarstufe I),
093,093,Krankenhausunterricht für Schülerinnen und Schüler die ein Gymnasium (Sekundarstufe I) besuchen,
094,094,Gymnasium (Sekundarstufe II),
095,095,Prävention im Gymnasium (Sekundarstufe II),
096,096,Inklusion im Gymnasium (Sekundarstufe II),
097,097,Krankenhausunterricht für Schülerinnen und Schüler die ein Gymnasium (Sekundarstufe II) besuchen,
110,110,Freie Waldorfschule,
111,111,Prävention an der Freien Waldorfschule,
112,112,Inklusion an der Freien Waldorfschule,
115,115,Gemeinschaftsschule ohne Oberstufe (Sekundarstufe I),
116,116,Prävention in der Gemeinschaftsschule ohne Oberstufe (Sekundarstufe I),
117,117,Inklusion in der Gemeinschaftsschule ohne Oberstufe (Sekundarstufe I),
118,118,Krankenhausunterricht für Schülerinnen und Schüler die eine Gemeinschaftsschule ohne Oberstufe (Sekundarstufe I) besuchen,
120,120,Gemeinschaftsschule mit Oberstufe (Sekundarstufe I),
121,121,Prävention in der Gemeinschaftsschule mit Oberstufe (Sekundarstufe I),
122,122,Inklusion in der Gemeinschaftsschule mit Oberstufe (Sekundarstufe I),
123,123,Krankenhausunterricht für Schülerinnen und Schüler die eine Gemeinschaftsschule mit Oberstufe (Sekundarstufe I) besuchen,
124,124,Gemeinschaftsschule mit Oberstufe (Sekundarstufe II),
125,125,Prävention in der Gemeinschaftsschule mit Oberstufe (Sekundarstufe II),
126,126,Inklusion in der Gemeinschaftsschule mit Oberstufe (Sekundarstufe II),
127,127,Krankenhausunterricht für Schülerinnen und Schüler die eine Gemeinschaftsschule mit Oberstufe (Sekundarstufe II) besuchen,
131,131,Förderzentrum mit dem SP Lernen,
132,132,Förderzentrum mit dem SP Sehen,
134,134,Förderzentrum mit dem SP Hören,
136,136,Förderzentrum mit dem SP Sprache,
137,137,Förderzentrum mit dem SP körperliche und motorische Entwicklung,
138,138,Förderzentrum mit dem SP geistige Entwicklung,
139,139,Förderzentrum mit dem SP emotionale und soziale Entwicklung,
140,140,Förderzentrum mit dem SP autistisches Verhalten,
141,141,Förderzentrum mit dem SP dauerhaft kranke Schüler/-innen,
151,151,Prävention in anderem Förderzentrum,
152,152,Unterricht an einem anderen Förderzentrum,
153,153,Krankenhausunterricht für Schülerinnen und Schüler die ein anderes Förderzentrum besuchen,
170,170,Abendgymnasium,
181,181,Prävention in den berufsbildenden Schulen,
182,182,Inklusion in den berufsbildenden Schulen,
183,183,Krankenhausunterricht für Schülerinnen und Schüler die eine berufsbildende Schule besuchen,
190,190,Prävention in Bik-DaZ,
191,191,Inklusion in Bik-DaZ,
201,201,BS - Junge Menschen mit Ausbildungsverhältnis Wirtschaft und Verwaltung,
203,203,BS - Junge Menschen mit Ausbildungsverhältnis Metalltechnik,
205,205,BS - Junge Menschen mit Ausbildungsverhältnis Elektrotechnik,
207,207,BS - Junge Menschen mit Ausbildungsverhältnis Bautechnik,
209,209,BS - Junge Menschen mit Ausbildungsverhältnis Holztechnik,
211,211,BS - Junge Menschen mit Ausbildungsverhältnis Textiltechnik und Bekleidung,
213,213,"BS - Junge Menschen mit Ausbildungsverhältnis Chemie, Physik und Biologie",
215,215,BS - Junge Menschen mit Ausbildungsverhältnis Druck- und Medientechnik,
217,217,BS - Junge Menschen mit Ausbildungsverhältnis Farbtechnik und Raumgestaltung,
219,219,BS - Junge Menschen mit Ausbildungsverhältnis Gesundheit,
221,221,BS - Junge Menschen mit Ausbildungsverhältnis Körperpflege,
223,223,BS - Junge Menschen mit Ausbildungsverhältnis Ernährung und Hauswirtschaft,
225,225,BS - Junge Menschen mit Ausbildungsverhältnis Agrarwirtschaft,
227,227,BS - Junge Menschen in Sonderausbildungsgängen,
240,240,BS - Berufsgrundbildungsjahr,
241,241,BS - Betriebliche Einstiegsqualifizierung (EQ),
246,246,BS - Berufsvorbereitende Bildungsmaßnahmen,
250,250,BS AV-SH (Ausbildungsvorbereitung SH) ,
252,252,BS AVflex,löst die einjährigen Bildungsgänge der BFS I (Unterstufe) weitgehend ab. Allerdings bleiben diese parallel weiterhin für private Schulen sowie für das Abendgymnasium am Ravensberg-Kiel bestehen.
251,251,BS - BIK-DaZ (Berufsintegrationsklasse),
260,260,BFS Typ I - Nahrung und Gastronomie,
261,261,BFS Typ I - Nahrung und Gastronomie (einjährig) (Unterstufe),öffentliche Schulen: nur noch Entlassene 
262,262,BFS Typ I - Gesundheit und Ernährung,
263,263,BFS Typ I - Gesundheit und Ernährung (einjährig) (Unterstufe),öffentliche Schulen: nur noch Entlassene 
258,258,BFS Typ I - Technik - SP allgemeine Technik,
259,259,BFS Typ I - Technik - SP Medien - Gestaltungstechnik,
264,264,BFS Typ I - Technik - SP Metalltechnik,
266,266,BFS Typ I - Technik - SP Elektrotechnik,
267,267,BFS Typ I - Technik - SP Fahrzeugtechnik,
268,268,BFS Typ I - Technik - SP Bautechnik,
269,269,BFS Typ I - Technik - SP Gestaltung,
270,270,BFS Typ I - Technik - SP Holztechnik,
271,271,BFS Typ I - Technik - Mischklassen,
265,265,BFS Typ I - Technik (einjährig) (Unterstufe),öffentliche Schulen: nur noch Entlassene 
272,272,BFS Typ I - Wirtschaft,
273,273,BFS Typ I - Wirtschaft (einjährig) (Unterstufe),öffentliche Schulen: nur noch Entlassene 
274,274,BFS Typ II - Holztechnik,
278,278,BFS Typ III - Automatisierungstechnik (2 Jahre),
275,275,BFS Typ III - Bautechnik,
279,279,BFS Typ III - Biologie,
276,276,BFS Typ III - Chemie,
287,287,BFS Typ III - Design SP Fotografie,
281,281,BFS Typ III - Elektrotechnik,
283,283,BFS Typ III - Energietechnik,
379,379,BFS Typ III - Ernährung und Versorgung SP Tourismus und Food-Service,
291,291,BFS Typ III - Gastronomie (2 Jahre) SP Systemgastronomie und Markenhotellerie,
293,293,BFS Typ III - Gastronomie (2 Jahre) SP Tourismus und Food & Beverage,
371,371,BFS Typ III - Informationstechnik SP Medieninformatik,
372,372,BFS Typ III - Informationstechnik SP Softwareentwicklung,
285,285,BFS Typ III - Informationstechnik SP Technische Informatik und Kommunikationstechnik,
289,289,BFS Typ III - Informationstechnik SP Wirtschaftsinformatik,
292,292,BFS Typ III - Medientechnik,
294,294,BFS Typ III - Medizintechnik-Labor,
282,282,BFS Typ III - Pharmazie,
284,284,BFS Typ III - Physik,
286,286,"BFS Typ III - Sozialpädagogik (2 Jahre, Vollzeit, ohne PIA)",mit Eingangsvoraussetzung MSA
254,254,"BFS Typ III - Sozialpädagogik (2 Jahre, Vollzeit, mit PIA)",mit Eingangsvoraussetzung MSA
295,295,"BFS Typ III - Sozialpädagogik (3 Jahre, Vollzeit)","mit Eingangsvoraussetzung ESA, neu ab 2021/22"
296,296,"BFS Typ III - Sozialpädagogik (3 Jahre, Teilzeit)",mit Eingangsvoraussetzung MSA
300,300,"BFS Typ III - Sozialpädagogik (> 3 Jahre, Teilzeit)",
280,280,"BFS Typ III - Sozialwesen (2 Jahre, Eingangsvor. ESA)",mit Eingangsvoraussetzung ESA
377,377,"BFS Typ III - Sozialwesen (2 Jahre, Eingangsvor. MSA)",mit Eingangsvoraussetzung MSA
373,373,BFS Typ III - Sport SP Rhythmische Gymnastik und Tanz,
374,374,BFS Typ III - Sport SP Sport und Fitness,
290,290,BFS Typ III - Sport SP Therapeutische Gymnastik,
375,375,BFS Typ III - Wirtschaft Kfm.Assist. - SP Informationsverarbeitung,
376,376,BFS Typ III - Wirtschaft Kfm.Assist. - SP Fremdsprachen,
256,256,BFS Typ III - Mathematik,
257,257,BFS Typ III - Schiffsbetriebstechnik,
297,297,BFS Typ III - Gestaltungstechnik - SP Grafik,
298,298,BFS Typ III - Gestaltungstechnik - SP Medien/Kommunikation,
299,299,BFS Typ III - Gestaltungstechnik - SP Textil- und Modedesign,
277,277,BFS Typ III - Gestaltungstechnik - SP Screendesign,
341,341,BG - Agrarwirtschaft ,
301,301,BG - Mischklassen,
302,302,BG - Ernährung,
303,303,BG - Mischklassen - Technik -,
306,306,BG - Technik - SP Elektrotechnik,
308,308,BG - Technik - SP Bautechnik,
309,309,BG - Berufliche Informatik - SP Wirtschaftsinformatik,
311,311,BG - Biotechnologie und biologisch technische Assistenten (BTA) (doppeltqualifizierend),
312,312,BG - Wirtschaft - SP-Fach Volkswirtschaftslehre,
314,314,BG - Gesundheit und Soziales - SP Pädagogik / Psychologie,
