code,shortName,longName,comment
13,13,BG - Agrarwirtschaft ,
28,28,BG - Berufliche Informatik - SP Informatik,
29,29,BG - Berufliche Informatik - SP Technische Informatik,
27,27,BG - Berufliche Informatik - SP Wirtschaftsinformatik,
26,26,BG - Biotechnologie und biologisch technische Assistenten (BTA) (doppeltqualifizierend),4jährig
14,14,BG - Ernährung,
46,46,BG - Gesundheit und Soziales - SP Gesundheit/Pflege,
48,48,BG - Gesundheit und Soziales - SP Pädagogik/Psychologie und sozialpädagogische Assistenten (SPA) (doppeltqualifizierend),"3jährig auslaufend (ab 2021), 4jährig"
31,31,BG - Gesundheit und Soziales - SP Pädagogik/Psychologie,
15,15,BG - Gesundheit und Soziales - SP Sozialpädagogik,
18,18,BG - Technik - SP Bautechnik,
34,34,BG - Technik - SP Biologietechnik,
35,35,BG - Technik - SP Chemietechnik,
33,33,BG - Technik - SP Elektromobilität,
19,19,BG - Technik - SP Elektrotechnik,
36,36,BG - Technik - SP Gestaltungs- und Medientechnik,
21,21,BG - Technik - SP Gestaltungstechnik ,
37,37,BG - Technik - SP Informationstechnik,
38,38,BG - Technik - SP Luftfahrttechnik,
39,39,BG - Technik - SP Mechatronik,
40,40,BG - Technik - SP Metalltechnik/Maschinenbau,
41,41,BG - Technik - SP Physiktechnik,
42,42,BG - Technik - SP Technik und Management,
43,43,BG - Technik - SP Umwelttechnik,
44,44,BG - Wirtschaft - SP-Fach Betriebswirtschaftslehre mit Rechnungswesen und Controlling,
25,25,BG - Wirtschaft - SP-Fach Volkswirtschaftslehre,
99,99,BG - Mischkurse,
