code,shortName,longName,comment
025,025,DaZ-Klasse in Primarstufe (nur im DaZ-Zentrum),
030,030,Grundschule,
035,035,DaZ-Klasse in Sekundarstufe I (nur im DaZ-Zentrum),
090,090,Gymnasium,
110,110,Freie Waldorfschule,
115,115,Gemeinschaftsschule ohne Oberstufe,
120,120,Gemeinschaftsschule mit Oberstufe,
131,131,FöZ mit dem SP Lernen,
132,132,FöZ mit dem SP Sehen,
134,134,FöZ mit dem SP Hören,
136,136,FöZ mit dem SP Sprache,
137,137,FöZ mit dem SP körperliche und motorische Entwicklung,
138,138,FöZ mit dem SP geistige Entwicklung,
139,139,FöZ mit dem SP emotionale und soziale Entwicklung,
140,140,FöZ mit dem SP autistisches Verhalten,
141,141,FöZ mit dem SP dauerhaft kranke Schüler/-innen,
170,170,Abendgymnasium,
200,200,Berufsschule,
210,210,Berufsfachschule,
220,220,Berufliches Gymnasium,
230,230,Fachoberschule,
240,240,Berufsoberschule,
250,250,Fachschule,
400,400,Schule des Gesundheitswesens,
