code,shortName,longName,comment
01,01,Neuaufnahme (in die 1. Jahrgangsstufe),
20,20,Verbleib in der gleichen Jahrgangsstufe des VJ der Eingangsphase,
02,02,Aufsteiger/-in in die nächste Jahrgangsstufe,
03,03,Überspringer/-in einer Jahrgangsstufe,
04,04,Wiederholer/-in aufgrund Konferenzbeschluss,
05,05,Wiederholer/-in auf Antrag der Eltern,
06,06,Zugang aus einer Grundschule,
08,08,Zugang aus einem Förderzentrum,
10,10,Zugang aus einem Gymnasium,
15,15,Zugang aus einer Gemeinschaftsschule ohne Oberstufe,
17,17,Zugang aus einer Gemeinschaftsschule mit Oberstufe,
12,12,Zugang aus einer Freien Waldorfschule,
13,13,Zugang aus einer sonstigen Schule,
16,16,Rückkehr aus Beurlaubung,
18,18,Verbleib in der gleichen Jahrgangsstufe des VJ der flexiblen Übergangsphase,
21,21,Zugang aus einem anderen Bundesland,
22,22,Zugang von einer Schule im Ausland,
23,23,Zugang aus DaZ-Basisstufe (Primarstufe),
24,24,Zugang aus DaZ-Basisstufe (Sekundarstufe),
25,25,Zugang in DaZ-Basisstufe ohne vorherigen Schulbesuch,
