code,shortName,longName,comment
000,000,Deutschland,
121,121,Albanien,
122,122,Bosnien und Herzegowina,
123,123,Andorra,
124,124,Belgien,
125,125,Bulgarien,
126,126,Dänemark,
127,127,Estland,
128,128,Finnland,
129,129,Frankreich,
130,130,Kroatien,
131,131,Slowenien,
134,134,Griechenland,
135,135,Irland,
136,136,Island,
137,137,Italien,
139,139,Lettland,
140,140,Montenegro,
141,141,Liechtenstein,
142,142,Litauen,
143,143,Luxemburg,
144,144,Nordmazedonien,
145,145,Malta,
146,146,"Moldau, Republik",
147,147,Monaco,
148,148,Niederlande,
149,149,Norwegen,
150,150,Kosovo,
151,151,Österreich,
152,152,Polen,
153,153,Portugal,
154,154,Rumänien,
155,155,Slowakei,
156,156,San Marino,
157,157,Schweden,
158,158,Schweiz,
160,160,Russische Föderation,
161,161,Spanien,
163,163,Türkei,
164,164,Tschechien,
165,165,Ungarn,
166,166,Ukraine,
167,167,Vatikanstadt,
168,168,Vereinigtes Königreich (Großbritannien und Nordirland),
169,169,Belarus,
170,170,Serbien,
181,181,Zypern,
221,221,Algerien,
223,223,Angola,
224,224,Eritrea,
225,225,Äthiopien,
226,226,Lesotho,
227,227,Botsuana,
229,229,Benin,
230,230,Dschibuti,
231,231,Côte d'Ivoire,
232,232,Nigeria,
233,233,Simbabwe,
236,236,Gabun,
237,237,Gambia,
238,238,Ghana,
239,239,Mauretanien,
242,242,Cabo Verde,
243,243,Kenia,
244,244,Komoren,
245,245,Kongo,
246,246,"Kongo, Demokratische Republik",
247,247,Liberia,
248,248,Libyen,
249,249,Madagaskar,
251,251,Mali,
252,252,Marokko,
253,253,Mauritius,
254,254,Mosambik,
255,255,Niger,
256,256,Malawi,
257,257,Sambia,
258,258,Burkina Faso,
259,259,Guinea-Bissau,
261,261,Guinea,
262,262,Kamerun,
263,263,Südafrika,
265,265,Ruanda,
267,267,Namibia,
268,268,São Tomé und Príncipe,
269,269,Senegal,
271,271,Seychellen,
272,272,Sierra Leone,
273,273,Somalia,
274,274,Äquatorialguinea,
277,277,Sudan,
278,278,Südsudan,
281,281,Eswatini,
282,282,"Tansania, Vereinigte Republik",
283,283,Togo,
284,284,Tschad,
285,285,Tunesien,
286,286,Uganda,
287,287,Ägypten,
289,289,Zentralafrikanische Republik,
291,291,Burundi,
320,320,Antigua und Barbuda,
322,322,Barbados,
323,323,Argentinien,
324,324,Bahamas,
326,326,"Bolivien, Plurinationaler Staat",
327,327,Brasilien,
328,328,Guyana,
330,330,Belize,
332,332,Chile,
333,333,Dominica,
334,334,Costa Rica,
335,335,Dominikanische Republik,
336,336,Ecuador,
337,337,El Salvador,
340,340,Grenada,
345,345,Guatemala,
346,346,Haiti,
347,347,Honduras,
348,348,Kanada,
349,349,Kolumbien,
351,351,Kuba,
353,353,Mexiko,
354,354,Nicaragua,
355,355,Jamaika,
357,357,Panama,
359,359,Paraguay,
361,361,Peru,
364,364,Suriname,
365,365,Uruguay,
366,366,St. Lucia,
367,367,"Venezuela, Bolivarische Republik",
368,368,"Vereinigte Staaten (von Amerika), auch USA",
369,369,St. Vincent und die Grenadinen,
370,370,St. Kitts und Nevis,
371,371,Trinidad und Tobago,
421,421,Jemen,
422,422,Armenien,
423,423,Afghanistan,
424,424,Bahrain,
425,425,Aserbaidschan,
426,426,Bhutan,
427,427,Myanmar,
429,429,Brunei Darussalam,
430,430,Georgien,
431,431,Sri Lanka,
432,432,Vietnam,
434,434,"Korea, Demokratische Volksrepublik ",
436,436,Indien,
437,437,Indonesien,
438,438,Irak,
439,439,"Iran, Islamische Republik",
441,441,Israel,
442,442,Japan,
444,444,Kasachstan,
445,445,Jordanien,
446,446,Kambodscha,
447,447,Katar,
448,448,Kuwait,
449,449,"Laos, Demokratische Volksrepublik",
450,450,Kirgisistan,
451,451,Libanon,
454,454,Malediven,
456,456,Oman,
457,457,Mongolei,
458,458,Nepal,
460,460,Bangladesch,
461,461,Pakistan,
462,462,Philippinen,
467,467,"Korea, Republik (Südkorea)",
469,469,Vereinigte Arabische Emirate,
470,470,Tadschikistan,
471,471,Turkmenistan,
472,472,Saudi-Arabien,
474,474,Singapur,
475,475,"Syrien, Arabische Republik",
476,476,Thailand,
477,477,Usbekistan,
479,479,China,
482,482,Malaysia,
483,483,Timor-Leste,
499,499,Übriges Asien,
523,523,"Australien, einschl. Kokosinseln, Weihnachtsinsel und Norfolk-Inseln",
524,524,Salomonen,
526,526,Fidschi,
530,530,Kiribati,
531,531,Nauru,
532,532,Vánúatú,
533,533,Niue,
536,536,Neuseeland,
537,537,Palau,
538,538,Papua-Neuguinea,
540,540,Tuvalu,
541,541,Tonga,
543,543,Samoa,
544,544,Marshallinseln,
545,545,"Mikronesien, Föderierte Staaten von",
997,997,Staatenlos,
998,998,Ungeklärt,
999,999,Ohne Angabe,
