code,shortName,longName,comment
00,00,Deutsch,
23,23,Albanisch,
01,01,Arabisch,
24,24,Armenisch,
25,25,Aserbaidschanisch,
02,02,Bosnisch,
26,26,Bulgarisch,
09,09,Chinesisch / Kantonesisch,
03,03,Dänisch,
04,04,Englisch,
30,30,Fārsi / Tādschikī,
28,28,Finnisch,
05,05,Französisch,
06,06,Friesisch,Beim Migrationshíntergrund nicht mitzuzählen
07,07,Griechisch,
08,08,Hindi / Punjabi,
11,11,Italienisch,
12,12,Kroatisch,
13,13,Kurdisch,
37,37,Mazedonisch,
39,39,Niederdeutsch,Beim Migrationshíntergrund nicht mitzuzählen
10,10,Niederländisch,
29,29,Norwegisch,
27,27,Persisch / Dari,
14,14,Polnisch,
15,15,Portugiesisch,
40,40,Romanes,Beim Migrationshíntergrund nicht mitzuzählen
31,31,Rumänisch,
16,16,Russisch,
32,32,Schwedisch,
17,17,Serbisch,
41,41,Sorbisch,Beim Migrationshíntergrund nicht mitzuzählen
18,18,Spanisch,
36,36,Syrisch,
33,33,Thai,
38,38,Tschechisch,
19,19,Türkisch,
34,34,Ukrainisch,
35,35,Ungarisch,
20,20,Urdu,
21,21,Vietnamesisch,
22,22,Sonstige,
